section,subsection,name,description
门派武功,武当派,大须弥十七式,"""玉女投梭""""划破天河""""龙门鼓浪""""长虹射日""""神龙入海""""客星犯月""""飞鸟投林""""倒卷天河""""后羿射日""""星汉浮搓""""李广射石""""流星赶月""""玉带围腰""""金蟾戏浪""""白鹤啄鱼""""回龙归洞""""玉女投梭""""海上明霞""""鹰击长空""""神剑穿云""，绝招""白虹贯日""""一苇渡江""
- **五禽掌法**
- **铁指玄功**（铁琵琶指）：""划分阴阳""
- **一苇渡江**轻功"
门派武功,武当派,达摩拳,"最凶犷招""连环七星锤"" 剑法最高境界：像一醉汉，脚步踉跄，剑指东打西指南打北，看似毫无章法实是奇妙绝伦，意在剑先，动如脱兔静如处子。
> 达摩一百零八式全部精华就是：教人怎样攻击敌人的弱点，以变化繁杂的步法手法使敌人不知从何方防御，所以常能以弱胜强。 武当北支祖师桂仲明参考""五禽剑法""""蹑云剑法""""天山剑法""将原达摩剑法又有所增补。"
门派武功,武当派,太极拳,"讲究后发制人，意先招后，先后却正是相反相成，以柔克刚。""云手""""野马分鬃""""怀中抱月式""。**太极掌力**：练到火候可以杀人不留伤痕，由于掌力是纯柔，不但身体外面不留伤痕，剖开尸体内脏如常。"
门派武功,武当派,九宫八卦阵剑法,"武当镇山剑法，本是武当派所创的一个剑阵，按乾、坤、艮、巽、坎、离、震、兑的八卦方位各有一个弟子把守，再加上一个弟子在阵中央八方兼顾，共是九个弟子组成。后来松石道人苦心钻研，练成一个人便可以替代一个剑阵剑法，一展就似九名弟子互相呼应围攻敌人，每一招都是九式。主要招式：""八方宾服""（起手式）、""七星伴月""""羿射九日""（幻出九支剑影，剑都是指向敌的心窝）、最后一招""九九归元""（剑法精华所在，九个动作一气呵成，一切复杂变化都融合在这一招之中）。"
门派武功,武当派,连环夺命剑法,"七十二手，一招接一招连续不断如长江浪涌大海潮生，回环运用奇正相生变化，十分复杂以迅捷凌厉招数取胜。
- ""雷电交轰""至刚至烈的剑招
- ""鹰击长空""""横云断峰""""直劈华山""""长河落日""""大漠孤烟""""长蛇入洞""
- ""孔雀剔翎""""风雷交击""""钱翔浅底""""三转法伦""""樵夫问路""""猛鸡夺粟""
- ""白蛇出洞""""七星上步""""金针度线""""白猿窜枝""""暴雨摧花""""云横秦岭""
- ""潜龙升天""""春云乍展""""横指天南""""无常夺命""""金针引线""""展翼摩云""
- ""李广射石""""玄鸟划砂""
- 绝招""山舞银蛇""""横江截斗""""白鹤啄鱼""
- ""千丝万缕""：乃是从中的""乱披风""一招变化出来的"
门派武功,武当派,柔云剑法,"不悔师太采用太极剑法的剑理为俗家女弟子所创，以内力为主擅能以柔克刚。
> 连环夺命剑法与柔云剑法两种剑法一刚一柔，相反相成，练到炉火纯青之境这两种剑法可以熔于一炉，发挥最大威力。"
门派武功,武当派,《桂华生武功秘籍》,"桂华生晚年在魔鬼城白塔下冰窑中留下夫妻合写的武功秘籍（一套冰川剑法一部内功心法），内功心法是以武当内功作为基础。""龙爪手""。"
门派武功,武当派,冰川剑法,"桂华生夫妇当年在冰川之旁观冰川流动之势妙悟而来。冰川上面冰层凝结几乎看不出它在移动，实则冰层之下仍暗汹涌，冰川的奇妙就在极静之中含有极动。以达摩剑法为基础又采集西欧及阿拉伯剑术的精华揉合而成，剑法中暗藏潜力，重在剑意，总共只有十八个式子，精髓内柔外刚，讲究轻灵翔动避实就虚。 招式：""大漠流沙""""层冰乍裂""""冰魄流光""""星河倒卷""""冰河倒挂""""飞瀑潜流""""星汉浮槎""""万里飞霜""""千里落叶""""云层乍裂""""冰河倒泻""""倒卷银河""""冰川飞瀑""""大鹏展翅""""倒卷冰河""""雪花六出""""积水凝冰""""春风解冻""""千里冰封""""雪拥蓝关""。""飞瀑流泉""最厉害的一招，""冰河解冻""临危解困败里反攻的绝招。"
门派武功,武当派,九宫八卦剑阵,明末黄叶道人所创，以九个精通连环夺命剑法的人按九宫八卦方位布成。
门派武功,武当派,九天玄女阵,八个人各踏着一个方位暗合诸葛武侯传下的八阵图——休、生、伤、杜、死、景、惊、开八门，任是如何转动这八门都互相呼应，一个人不随着转动镇守中枢。
门派武功,武当派,五雷天心掌法,武当五老的绝学，乃最刚猛的掌法，五人合力施为端的有雷霆万钧之势，隐隐夹有风雷之声，首尾连环四方合击不露半点空隙。
门派武功,武当派,点隐穴法,武当派独门手法，点了人的隐穴（隐藏于脏腑之中的穴道）那人仍然可以行动如常，不过若是一运真气立即腹如刀绞，隐穴被点之后内伤逐日加深，若七天没有武当派的人替他解穴就要受到极大的痛苦折磨最后气绝身亡。
门派武功,武当派,黏字诀,"内力到炉火纯青之境，拳经所谓""舍己从人，随屈决伸，不抗步顶，劲急则急应，劲缓则缓随""，如磁吸铁紧黏不弃。"
门派武功,武当派,刚柔并济,七星子的绝学，使连环夺命剑法乃是最凌厉的一种剑法，配上阴柔之极的拂尘，使用两种截然不同的兵器同时使出阳刚、阴柔两种劲力，劲力忽刚忽柔，刚柔并济。
门派武功,武当派,罗汉拳与金刚掌轮换使用,"牟独逸自创的武功，十分刚猛，威力之强在各家各派的掌法之中要推第一。""五丁开山""""撞倒天柱""""踏破贺兰""""哪吒闹海""。"
门派武功,武当派,九宫神行掌法,脚走九宫八卦方位，掌法暗藏八九七十二手点卸法，点是点穴卸是卸骨，切、斩、点、拿，奇正相生。
门派武功,武当派,四象剑阵,武当镇山阵法之一。
门派武功,武当派,鸳鸯连环腿,"绝招""上下交征""。 其他：太清玄功、霹雳掌、九宫八卦掌、金刚指、隔物传功、五行剑阵。"
门派武功,武当派,剑招,"""北斗七星""（武当绝招之一，无相真人揉合了连环夺命剑法的一招，奇正相生、刚柔并济，表面与七星剑法有相似之处，其实却是从太极的剑意变化出来的）、""似有还无""（形如白鹤亮翅实则剑意不同）、""白虹贯日""""七星伴月""""云涌风翻""""云麾三舞""""金鼓雷鸣""""神鹰展翅""""孔雀剔翎""""无常夺命""""飞渡阴山""""华容截道""""鹏搏九霄""""野火春风""""怒涛卷空""""倒挂天虹""""云横秦岭""""雪拥蓝关""""星海浮搓""""分心剑""""凤点头""。"
门派武功,武当派,单刀刀法,"以巧降力，轻灵。""反臂刺扎""""苏秦背剑""""樵夫问路""""玉女投梭""""金蜂戏蕊""。"
门派武功,武当派,封穴止血,止血方法。
门派武功,武当派,沾衣十八跌,"借力打力，是用敌人自己发出的力量去打击敌人，运气反击的功夫，上乘内功，别人出手一沾着他的衣裳立即就会跌交，共有十八种跌法，最高境界不管是人是物沾衣即跌。 拳脚招式：""夺剑式""""抱拳""""盘龙双撞掌""""云锁苍山""""玄鸟划沙""""跨虎登山""""弯弓射雕""""斜挂单鞭""""分牛掌""""双龙出海""。 拂尘：""暮雨朝云""。"
门派武功,上官天野武当支派（唐古拉山）,铁琵琶手与罗汉拳,拳掌兼施攻守并用，两种普通武功配合起来循环反复变化无穷。
门派武功,上官天野武当支派（唐古拉山）,吴钩剑法,"锁、刺、勾、剪，可双钩同使，也可左钩右掌，掌法沉厚绵密。""殿翼摩云""""玉女穿针""""平沙落雁""。"
门派武功,上官天野武当支派（唐古拉山）,一指禅,"能封闭敌人的隐穴。 拳招：""横云断峰""""白猿探路""""铁指铜琶""。飞蝗针。"
门派武功,太极门,太极拳,"以柔克刚，以静制动。""揽雀尾""""野马分鬃""""手挥琵琶""""退步跨虎""""顺水推舟""""扑面七星掌""""玉女穿梭""""斜挂单鞭""""白鹤亮翅""""肘底看捶""""提手下势""""如封似闭""""倒撵猴""""海底针""""扇通背""""翻身撇身捶""""翻身二起脚""""卸步搬拦捶""""豹虎推山""""云手""。丁派胜于轻灵，陈派胜于沉稳。"
门派武功,太极门,丁家身法,讲究挨、帮、挤、靠。
门派武功,太极门,太极奇门十三剑,"讲究黏、连、劈、闪、扑、洗、撩、刺，要诀以静制动。""乘龙引凤""""抽撤连环""""手挥琵琶""""巧女穿针""""顺水推舟""""平林一抹""""倒洒金钱""""猛虎伏桩""""白鹤亮翅""""举火撩天""""彩凤舒翼""""玉女投梭""""翻身献剑""""行功盘步""""乌龙搅海""""苏秦背剑""""螳螂展臂""。 ""反臂阴镖""：丁派打暗器绝艺。太极枪法。 身法：""风飓荷花""。"
门派武功,天山派,《天山剑诀》《晦明拳经》,晦明禅师所留。
门派武功,天山派,大须弥剑式,"十三路，取自""须弥藏于芥子""之义，最佳防御剑法，若双方武功不是相差太远，较弱一方使出此剑式可以立于不败之地。在天山剑法中最精微奥妙，拙中见巧，攻守合一变化繁复，每一招每一式都是无懈可击。 招式：""春云乍展""""大漠孤烟""""三转法伦""，困敌妙招""八方风雨""""江海凝天""（最稳健防守招数）、""沧海微尘""""芥子须弥""（剑法精华所在，力道用足可以把对方剑绞脱手，对方若苦坚不撒剑非受伤不可）。
> 须弥是座大山，据云佛法可将山藏于芥子之内，借佛此语作喻即放之可弥六合、卷之可藏于密的意思。"
门派武功,天山派,追风剑式,"共七十二式，全采攻势，天山剑法中攻势最劲的招数，迅捷无伦，每八个招式自成一段落。 招式：""天外流星""""大漠风砂""""横云断峰""""北斗七星""""李广射石""""雪花六出""""龙门鼓浪""""追风逐电""""横江截斗""""猿猴献果""""仙人指路""""猛鸡夺粟""""孤鹤凌波""""春云乍展""""飞云掣电""""金门鼓浪""""飞渡阴山""""穆王神骏""""王母青禽""""飞暴流泉""""电射星驰""""流星飞驶""""野马操田""""星海浮搓""。绝招""白虹贯日""""李广射石""。"
门派武功,天山派,大须弥剑式与追风剑式混合使用,剑术不当拘泥一格，快慢均可随心所欲，举重固然可以若轻，举轻亦可以若重。大须弥剑式重拙，追风剑式轻灵，轻重得当，快慢调节，轻灵可化为重拙，重拙可化为轻灵，收发随心无不如意。上乘剑法拙能胜巧，但求融会贯通，举手投足使成妙谛，无需变化太过复杂。 （易兰珠将天山剑法、白发魔女独门剑法两种最上乘的剑法融化会合，具两家之长。） （杨炎扫叶掌法的创意天山剑法中大须弥剑式和追风剑法的精华合三为一，将展、龙两家剑法鞭法融会天山剑法之中自创新招。）
门派武功,天山派,寒涛剑法,"六十四路攻守兼备，剑一抖暮然寒光点点，一柄剑还像化了几十柄一样，使到疾处真如寒涛掠地怒潮卷空，银光飞洒千点万点乱洒下来。""浪涌金门""。"
门派武功,天山派,天山擒拿手法,最厉害截手法，劈、按、擒、拿。
门派武功,天山派,天山掌法,"追风掌式""排云驶电""；须弥掌法；游龙掌（专克近身的打法）。截手诀：挑、斩、拦、切、封、闭、擒、拿。大须弥点穴手。"
门派武功,天山派,移宫解穴,霍行仲（霍天都之父）独得其秘。
门派武功,天山派,拂穴,晦明禅师所创，用拂尘扫封闭敌人穴道。
门派武功,天山派,打通任督二脉,天山派不传之秘，以外力助人打通任督二脉。普通修习内功之士要打通任督二脉最少得花五年功夫，而这一关又是进步练上乘内功所必须经过的。
门派武功,天山派,打通三焦经脉,三焦经脉为少阳经脉、太阳经脉、厥阴经脉，打通此经脉三七二十一穴是修炼上乘内功所必然途径，但自身也损耗几年功力。 天山心法：吹云劲、弹字诀（杨炎将天山、龙家两种不同内功心法水乳交融合而为一）。少阳神功。 其他：猫鹰扑击之技、铁指禅、回旋连环剑法、神拳解穴、摘叶飞花。
门派武功,天山派,剑招,"""雷电交轰""（天山剑法中最刚猛的一招）、""云锁天山""""辟云望月""""弯弓射虎""""飞鹰扑兔""""鹰击长空""""横江截斗""""分花拂柳""""举火燎天""""沧海微生""""金针度线""""后羿射日""""龙翔凤舞""""金鸡夺粟""""乳燕穿林""""石破天惊""""飞鹰扑兔""""祥云护驾""""冰川解冻""""盘龙急转""""明驼万里""""金雕展翅""""横指天南""""洪崖拍岸""""神龙出海""""划破天河""""夜叉探海""""玄鸟划砂""""金针引线""""龙泉暴伸""""星汉飞搓""""苏秦背剑""""白猿进果""""仙人指路""""大鹏展翅""""秦岭横云""""乌龙掠地""""极目沧波""""东风折柳""""神龙掉尾""""倒枝垂柳""""迎风扫尘""""拨草寻蛇""""顺水推舟""""白鹤梳翎""""龙顶摘珠""""玉蟒翻身""""龙归大海""""玉带围腰""""雪拥蓝关""""白虹贯日""""飞鹰回旋""""回风扫柳""""樵夫问路""""沛公斩蛇""""飞鸟投林""""引虎归山""""乘龙引凤""""抽撤连环""""力划鸿沟""""倒卷星河""""秋水横舟""""探骊取珠""""巧女穿针""""白鹤亮翅""""龙跃深渊""""天山飞雪""""春风拂柳""""大海扬波""""穿云裂石""""掠雷闪电""""铁骑突出""""金刚护法""""飞瀑流泉""。 绝招""移星摘斗""""大漠流沙""""流星穿月""""八方风雨""""冰河倒挂""""明驼千里""""倒卷银河""，登峰造极的功夫""流星赶月""，""七星聚会""能在弹指之间连刺七处穴道。 拳掌招：""斜挂单鞭""""铁锁横舟""""猛虎伏桩""""十字摆莲""""排山运掌""""龙形穿掌""""后羿射日""""五丁开山""（巨灵掌力）、""斩龙手""（天山剑法中变化出来的绝招）。"
门派武功,反天山剑法（白发魔女）,敛精内视,"白发魔女所创只有女性方能修炼的内功兼可保容。 龙形八掌。掌法：""推手""""金刃劈风""。"
门派武功,反天山剑法（白发魔女）,双剑合壁,天山剑法与白发魔女独门剑法相反相成，威力极大。
门派武功,邙山派,伏魔杖法,"独臂神尼所创，经过了因和尚精研加以增益，一百零八路每一杖打下都有千钧之力，而且杖头杖尾都可用以打穴，其中还夹有刀剑的路数，至刚至猛最损耗内家真气，分为三段每一段三十六招一段比一段厉害。 招式：""潜龙飞天""""泰山压顶""""翻江搅海""""苍龙卷尾""""毒蛇寻穴""""横扫千军""""乌龙盘树""""迅雷击顶""""苍龙摆尾""""翻江倒海""""青龙出海""""雷电交轰""""五丁开山""""八方风雨""""铁锁横江""""云龙三现""，九十六招""降龙伏虎""，一百零八招""神魔归位""（玉石俱焚同归于尽的招数）。荡魔杖法""崩""字诀，杀手""潜龙升天""。"
门派武功,邙山派,玄女剑法,"独臂神尼晚年所创，专适合女子用以巧降力以奇制胜奥妙精奇。吕四娘参考天山剑法与达摩剑法的变化加以改善增益，""身外化身剑外化剑""绝技，防身三十六路连环剑法。 招式：""推窗望月""""春雷乍展""""清泉下滩""""横云断峰""""玉女穿针""""鹏搏九霄""""顺水推舟""""玉女投梭""""天山雪崩""""乌龙卷尾""""妙手摘星""""鹰击长空""""夜叉探海""""白鹤剔翎""""劲风扫叶""""高祖斩蛇""""飞鹰搏兔""""猛鸡夺粟""""龙顶摘珠""""飞暴流泉""""回风扫柳""""鹏搏九霄""""白猿击枝""""倒转阴阳""""神龙掉首""""夜战八方""""大漠孤烟""""铁锁拦舟""。绝招""秋水横舟""""白虹贯日""""天女散花""（无极含一气）。 玄女掌法：""杨花扑面""""柳絮轻风""。"
门派武功,邙山派,《少阳玄功秘诀》,"吕四娘晚年所创，可以抵御修罗阴煞功的阴毒之气，共三篇。 铁琵琶：分拍、打、锁、拿、弹、拨、压、送八法。 八卦紫金刀法：按着五行八卦方位进招守中带攻，乃专为碰着强敌时用的，""神龙抖甲""。 沾衣十八跌。传音挫敌。盘龙刀法一百零八招。披风杖法。快刀乱披风。 空手夺白刃：三十六招""星海浮搓""。百步神拳。 擒拿手：""翻云覆雨""""并刀胜剪""。 刀招：""拨云见日""""樵夫问路""。鞭招""长蛇绕树""。 掌法：""跨步进掌""""金龙探爪""""愚公移山""""劈山断流""。"
门派武功,玄机门,《玄功要诀》,彭和尚（彭莹玉）所著乃是武学的第一奇书。
门派武功,玄机门,庖丁解牛,"庖丁解牛不以力胜，而在顺势利导击中敌人的要害。要诀""目中有敌，心中无敌""""凝聚内力，攻其一点""。"
门派武功,玄机门,挪移穴道,"将穴道所受的对方内功移与别处，压力一减被封穴道便可慢慢解了。
- **大周天吐纳法**
- **逆气乱脉法**
> 子曰：范围天地之化而不过。岂能出于理气象乎？象者拳之形也，气者拳之势也，理者拳之功也，理气象备，举手投足无不逾矩。"
门派武功,玄机门,无名剑法,"张丹枫所创，没有固定招式也不遵循剑法常规，而是融会各家自辟蹊径，善于临机应变。 招式：""大漠孤烟""""长虹经天""""神龙入海""""李广射石""""七星伴月""""横云断峰""""春云乍展""""樵夫问路""""玄鸟划砂""""白鹤亮翅""""鹏搏九霄""""春风乍展""""白虹贯日""""鹰击长空""。绝招""三转法伦""（快、狠、准、变）、""北斗七星""。（剑谱上有图无式，倘若非武学有极深造诣的人看了只当是平庸武师和人开玩笑乱画出来的。）"
门派武功,玄机门,双剑合壁,"张丹枫夫妻新婚后根据上乘剑理所创，并非讲究一招一式的配合而是剑势上的配合，只须懂得诀窍信手刺出一剑便可和同伴配合妙至毫巅，威力极大。 招式：""大漠孤烟""""长河落日""""玉女投梭""""玉带围腰""""玄鸟划砂""""排云驭电""""横云断峰""，""振翼长空""""星汉浮搓""""青天揽月""（攻势最为凌厉的三招）。"
门派武功,玄机门,万流朝海元元剑法、百变阴阳玄机剑法,"玄机逸士创有两套剑法，融合各家各派剑法相反相成。 玄机剑法以奇诡见长，轻灵翔动变化精微，属灵巧多变的路子。招式：""长虹经天""""峭壁临江""""星汉浮搓""""颠倒阴阳""""力划鸿沟""""倒卷珠帘""""玉女投梭""""潜龙入地""""斗转星横""""倒转阴阳""""流星赶月""，绝招""极目沧波""""云髦三舞""。 元元剑法：""拂柳穿花""（专破钩夺之类兵器杀手神招）、""白虹贯日""""日月经天""""龙门鼓浪""""飞龙在天""""云横秦岭""""雪拥蓝关""""横架金梁""""八方风雨""""横江截斗""""分花拂柳""""金蟾戏浪""。 玄机剑法绝招上下左右追风八剑，每次连刺八剑一气呵成共刺三十二剑。 百变玄机剑法：""大雁南归""""举火燎天""""白蛇吐信""""华枝春暖""""天心月圆""""猛鸡夺粟""""李广射石""""虚式分金""""河马负图""""金针度线""""彩凤回头""""倒卷银河""""妙解连环""""冯夷击鼓""""乘风蹑虚""。 罗汉神刀：玄机逸士独创的一路刀法，模拟五百罗汉的姿势化到刀法上来，招数的变化繁复。""春云乍展""""凤凰展翅""。 玄机刀法：张丹枫采撷玄机剑法的精华别出新裁创了一套刀法，属浑厚华滋的路子。""白鹤亮翅""""白鹤梳翎""""推窗望月""""怪蟒翻身""""风刮落花""""铁锁横江""""铁骑突出""""翻云覆雨""""一柱擎天""""旋乾转坤""""移山填海""""上刺青冥""。 百变玄机掌法：有内外八圈之分，能在最小的圈子里把掌力运用的收放自如。""乘风破浪""""烘云托月""""弯弓射雕""。 流云袖法：能用彩袖作为软鞭卷敌人的兵器。 大力金刚手：""连环双撞掌""。大力鹰爪功。 伏魔杖法：一百零八路""刀划鸿沟""。 ""穿花绕树""身法：从八卦游身掌法中变化出来。 ""比翼双飞""：张丹枫所创的轻功身法，两人手拉着手同时跃起以强辅弱，可以跳跃的更高更远。 ""风刮荷花""身法、""飞花扑蝶""身法、大须弥掌式。"
门派武功,毒龙门（金家）,《毒本秘笈》,"记载毒龙尊者所创的武功。 神拐十八打：毒龙尊者所创，""大鹏展翅""""潜龙升天""""飞龙在天""""驾乘六龙""""指天划地""""雷电交轰""，绝招""神龙闹海""。飞龙掌。探骊指法：奇诡怪异。杀手绝招""双龙出海""。 毒龙点穴法：共有七种不同手法功效各不相同。""天魔解体""""齐眉脚""""对时闭穴""。 剑招：""惊涛拍岸""""长虹经天""。"
门派武功,金家,金家剑法,金世遗所创，以天山剑法为基石。
门派武功,金家,大周天剑法,与天山大须弥剑法有异曲同工之妙
门派武功,金家,追风剑式,"源出天山，六十四路，三十六招成一段落，攻势强劲无比，在各家剑法之中首屈一指。""顺水推舟""""白虹贯日""""玉女投梭""""法伦三转"""
门派武功,金家,大须弥剑式,"源出天山，柔中带刚，以平和冲淡的玄门内功作为基础，变化奇奥，每一招都是招里藏招式中套式，用于防守功效更大。""大漠孤烟直""""长河落日圆""""舌吐八荒"" 须弥掌法：金世遗采自天山派掌法（大须弥掌式）的精华再加以发扬，在内家各派掌法中堪称第一，这套掌法用于防守最是坚强不过。 内功心法：正邪合一的内功。换息吐纳（一种上乘的运气功夫，可以令人气力悠长善于耐劳久战不疲）。最上乘""大周天吐纳练气法""（可以在短时间恢复本身真力）。卸字诀。 天遁传音：以绝顶内功把声音凝成一线穿入他人耳朵。 天罗步：从奇门八卦之术演变而来，看似简单方位的变化却极为复杂，步法展开可以似天罗地网般包围敌人。源出青城派天罗步后来经乔北溟、金世遗加以增添改进，比原来步法精妙了许多。 小擒拿手：江海天融会各派擒拿手法的精华自创的新招。 佛门狮子吼功：金世遗与少林寺痛禅上人交换武功学来此功。 两人合使剑法：分为八八六十四招刚柔配合，最适合于男女联手。 蹑云步轻功：双手不抓实物踏着树干走上去。 一指禅功：功夫深奥秘诀却很简单。 其他：隔空点穴、弹指神通、沾衣十八跌、隔物传功、惊神指、大乘般若掌、金刚掌、大摔碑手、啮簇法、八步赶蝉、踏雪无痕轻功。妙手空空（姬晓风传金逐流的绝技）。 剑招：""白虹贯日""""玄鸟划沙""""李广射石""""横云断峰""""顺水推舟""。 拳脚招：""鹰击长空""""羚羊挂角""""弯弓射雕""。"
门派武功,上官家西域十三剑派,幻剑,"上官家家传剑法，共十四招九十八式，极为精妙，奇幻无比，变化莫测，快的出奇瞬息百变。""众星拱月""。""剑是幻剑，幻剑非剑""——并不是一把剑的名称，只要是悟出那奇幻的剑招任何一把剑都可以作为幻剑，但使幻剑的奇招却又并非限定必须用剑不可，刀剑铁尺甚至一根树枝都可以当做幻剑。最高境界：剑尖忽而上指忽而下戳，脚步踉跄俨如醉汉，看似杂乱无章其中包含着极复杂的变化，剑气千幻莫名。 逆运真气、天魔解体大法：乃是上官家不传之秘，两种奇门内功。逆运真气一种霸道方法，恢复功力可迅速见效但消失也快；一经贯通天魔解体大法可以发动，骨骼发出爆豆似的声响是大法即将发动的先兆。 上官家练功秘诀和其它门派内功合起来练，三个月内可以恢复失去的功力（琵琶骨被捏碎也可恢复）。"
